Blaze Ya Dead Homie,USA,Male,Person,1976-04-27,,"['Unknown']"
MINMI,Japan,Female,Person,1975-12-08,,"['Pop','Reggae','J-pop']"
Michael Burks,USA,Male,Person,1957-07-30,2012-05-06,"['Unknown']"
Annett Louisan,Germany,Female,Person,1977-04-02,,"['Unknown']"
Pascal Comelade,France,Male,Person,1955-06-30,,"['Unknown']"
Chris Botti,USA,Male,Person,1962-10-12,,"['Blues','Jazz']"
J Mix,Unknown,,,,,"['Unknown']"
Faber Drive,Canada,,Group,2005,,"['Rock','Pop','Alternative']"
Julian Cope,United Kingdom,Male,Person,1957-10-21,,"['Rock','Alternative','Punk','Indie','Psychedelic']"
Cold Cold Hearts,Unknown,,Group,,,"['Unknown']"
Million Dollar Marxists,Unknown,,Group,,,"['Unknown']"
The Everly Brothers,USA,,Group,1957,2014-01-03,"['Rock','Pop','Classic']"
The Movielife,USA,,Group,1997,2003-09-27,"['Unknown']"
Король и Шут,Russian Federation,,Group,1988,,"['Rock','Punk']"
The Martinis,USA,,Group,1993,,"['Unknown']"
Zuco 103,Netherlands,,Group,,,"['World']"
